portfolio;Group of securities, which may consist of a variety of stocks, bonds, etc., held by an individual or financial institute on.  The rationale is to minimize risk through diversification.
premium;
principal;
process (v);To convert inputs into outputs.
product;Output or end result of the production process.
productivity;Measure of the efficiency of a person or machine in converting inputs into usable outputs.
projections;Estimates of future sales, expenses, profits etc.
proposal;A document submitted by one party to supply goods or services to another.   
provider;A person or company that offers goods or services to another.
quarter;One fourth of a fiscal year or a three-month period.
real estate;Land and physical structures, such as buildings, fences, etc. attached to it.
refund (n);Compensation paid or credit allowed to a customer for the return of an item previously sold.
retail;The business of selling products and services directly to the consumer.
retire (a debt);To pay off.
revenue;The amount of money received from the sales of goods or services before deducting costs and expenses.
risk;Probability of threat, damage or loss, etc.   In a business sense, it’s the measurable possibility of a decrease in value.
salary;Compensation received by an employee from the employer. 
sales;
sales tax;Tax levied on the sale of goods or services and based on a percentage of the selling price that the buyer must pay.
sector;A distinct part of the economy or society; for example, private sector or public sector.
ship (v);To transport by ship, rail, truck, etc. 
shipment;Goods that are transported by ship, rail, truck, etc.
source (v);
stock (n);Equity capital raised through sale of shares.   
stock (v);To provide with a supply.
supplier;One who supplies materials, products or services to others.
supply (n);Amount of a commodity available to meet a demand.
supply chain;An interdependent collection of entities that supply materials, products or services to a customer.  Comprised of vendors, producers, retailers, etc.       
sustainability;Ability to maintain an activity or process over the term.
target;
tax;A charge levied upon a person, property or activity by a government; for example,  income tax or property tax.
terms;Conditions specified in a contract.
transparency;Condition where there is full disclosure of information, which is available to all parties for verification.
trend;Any general direction of movement or change.
unit cost;The cost of producing one unit of a product or service.
value-added;
value chain;Interlinked set of all value-creating processes that convert basic input materials into products or services for the consumer.
value proposition;A statement of the value of goods or services offered by a company to its customers.
vendor;A manufacturer, producer or seller.
vertical;
vertical integration;
vertical organization;A traditional type of organization that is hierarchically structured. 
warranty;Guarantee given by a seller to a buyer that the goods or services purchased will perform as promised.  
wholesale;The sale of goods in quantity for resale purposes.
wholesaler;The person or company that buys large quantities of goods and resells to retailers rather than to consumers.
write-off;A reduction of the value of an asset due to some occurrence, such as loss.
yield;The annual rate of return on an investment.
